year,country,region,january,february,march,april,may,june,july,august,september,october,november,december
16,israel,asia,1699,2088,1825,1846,1325,926,1343,1261,936,1697,837,1403
16,italia,europa,3736,3146,2437,1969,1580,1674,2337,3668,1585,1819,2365,3659
16,jamaica,caribe,75,66,88,87,96,87,94,107,65,71,61,74
16,japon,asia,526,612,594,382,325,340,344,433,318,346,501,680
16,libano,africa,20,11,15,17,13,26,21,18,13,11,15,12
16,marruecos,africa,16,16,12,22,18,8,19,36,7,13,9,45
16,mexico,america_del_norte,6659,6706,8381,6741,7767,7605,10637,8507,7895,7507,7571,8523
16,nicaragua,america_central,68952,34063,40858,33069,31704,33344,39511,31496,30382,30865,27250,38544
16,nigeria,africa,12,18,20,21,22,23,28,31,32,20,12,12
16,noruega,europa,486,455,568,249,156,209,318,121,136,221,300,397
16,nueva_zelanda,oceania,246,194,171,295,265,231,264,218,205,220,259,283
12,otros_eu,europa,1043,794,858,719,478,380,527,552,364,484,783,883
13,otros_eu,europa,945,864,891,743,559,536,622,627,391,550,900,1012
14,otros_eu,europa,968,967,831,588,457,343,427,426,294,442,716,915
15,otros_eu,europa,958,739,725,649,474,316,473,519,340,412,729,988
